student_id,minutes_watched,paid_in_q2
516,46.2667,1
520,91.1833,1
523,1322.25,1
603,8.1833,1
608,387.6833,1
614,674.4,1
616,1103.45,1
618,546.35,1
659,1337.6,1
666,332.9,1
691,499.5167,1
698,35.9833,1
709,2.3,1
767,0.05,1
778,201.6,1
782,33.9167,1
800,482.2333,1
801,333.4167,1
804,514.0667,1
805,48.4667,1
810,190.1667,1
829,151.35,1
830,0.35,1
832,358.1833,1
838,507.8167,1
840,1122.1333,1
841,1298.8833,1
842,289.5833,1
851,375.3667,1
854,6.85,1
862,978.9167,1
863,624.9333,1
865,1038.4333,1
869,175.8667,1
870,510.95,1
872,6.7167,1
875,355.1667,1
876,2.1333,1
882,1080.6833,1
893,370.1167,1
894,0.0667,1
900,283.3167,1
902,34.6167,1
903,141.35,1
908,2278.0167,1
911,878.0667,1
916,339.0667,1
928,99.05,1
930,159.5167,1
933,717.5167,1
936,379.8667,1
956,1.9167,1
959,12.3,1
961,326.1333,1
965,1125.8,1
969,57.8,1
973,43.7,1
977,0.6,1
982,38.85,1
985,57.7833,1
986,0.0667,1
987,149.6,1
988,364.2833,1
991,1640.4667,1
994,280.9667,1
998,6.6333,1
999,117.9167,1
1006,16.3333,1
1008,473.0,1
1010,4.9333,1
1014,191.8333,1
1015,1026.3,1
1016,56.1833,1
1018,171.1167,1
1019,8.5833,1
1029,62.65,1
1033,0.05,1
1034,107.75,1
1035,1449.7667,1
1040,0.0833,1
1042,403.8833,1
1045,82.25,1
1046,899.5667,1
1052,34.3333,1
1056,25.3333,1
1057,1075.1333,1
1063,1867.3333,1
1064,27.0833,1
1066,375.3167,1
1067,0.2667,1
1073,5.0333,1
1081,453.35,1
1086,894.85,1
1091,46.45,1
1099,0.2833,1
1102,983.8167,1
1105,2.9,1
1116,0.1167,1
1119,73.25,1
1125,11.3833,1
1127,433.4333,1
1128,1002.5167,1
1132,139.8667,1
1140,137.6,1
1143,21.0167,1
1145,657.35,1
1151,122.35,1
1155,9.1333,1
1158,4.5833,1
1165,40.6833,1
1166,338.8167,1
1169,49.65,1
1173,487.4,1
1175,35.25,1
1183,1333.0333,1
1187,63.4,1
1188,35.4,1
1190,124.1333,1
1196,119.2333,1
1197,1758.2833,1
1201,200.1167,1
1207,184.1,1
1209,6.4667,1
1212,42.0167,1
1214,36.0833,1
1215,1542.7167,1
1216,0.1833,1
1224,19.8833,1
1226,12.8333,1
1235,2.75,1
1238,50.8,1
1242,53.3833,1
1244,26.0333,1
1246,1475.2333,1
1249,12.2333,1
1253,0.15,1
1257,2.0667,1
1259,759.9167,1
1271,40.55,1
1272,234.0,1
1283,0.3333,1
1284,586.4833,1
1292,33.9333,1
1294,1.75,1
1299,55.5667,1
1306,68.9333,1
1308,388.75,1
1313,0.55,1
1323,60.5,1
1324,90.7,1
1327,160.4667,1
1330,108.1,1
1331,101.3833,1
1336,9.65,1
1347,29.9333,1
1350,1694.0,1
1353,397.35,1
1355,232.4,1
1357,142.7167,1
1363,765.7667,1
1369,4.95,1
1374,219.4167,1
1375,28.7833,1
1382,17.15,1
1388,87.1833,1
1389,66.6667,1
1393,0.05,1
1395,133.5167,1
1424,136.7333,1
1426,165.5833,1
1428,339.8333,1
1434,1690.6,1
1437,318.9,1
1459,95.2167,1
1461,7.8,1
1463,7.25,1
1465,47.45,1
1468,10.9333,1
1471,0.05,1
1473,48.8667,1
1481,30.05,1
1482,354.6667,1
1491,2594.3667,1
1498,32.6167,1
1500,821.4,1
1501,850.0333,1
1502,0.6333,1
1504,1072.95,1
1513,272.3,1
1522,196.95,1
1531,2.7,1
1532,2.2167,1
1535,831.2,1
1537,0.1333,1
1538,191.5667,1
1542,2007.9667,1
1544,26.7,1
1550,395.4833,1
1553,83.15,1
1561,550.45,1
1571,77.6,1
1587,93.9167,1
1588,5.6833,1
1595,102.6667,1
1598,65.7,1
1600,33.55,1
1605,173.9,1
1606,5.5833,1
1615,3.4333,1
1633,13.15,1
1638,706.9,1
1644,135.0667,1
1649,3.95,1
1651,71.7333,1
1652,322.45,1
1653,247.0667,1
1658,159.55,1
1667,23.1833,1
1669,259.4167,1
1678,470.6167,1
1680,1.6333,1
1683,1078.1833,1
1686,0.1333,1
1688,1802.9333,1
1693,149.95,1
1695,385.35,1
1701,678.7833,1
1702,1.1,1
1705,606.2,1
1710,18.6333,1
1711,138.65,1
1713,86.8333,1
1732,319.3333,1
1733,230.2333,1
1737,168.85,1
1739,109.3,1
1759,133.3833,1
1765,432.4167,1
1773,415.4833,1
1776,1695.5167,1
1778,887.55,1
1784,0.1333,1
1790,1340.6833,1
1792,89.05,1
1794,188.1333,1
1795,139.9833,1
1801,3.0,1
1802,0.45,1
1820,104.4833,1
1823,1499.2167,1
1825,487.4167,1
1827,1.6,1
1835,1386.55,1
1841,23.65,1
1849,81.85,1
1852,587.9667,1
1862,2.7,1
1863,118.35,1
1864,454.95,1
1866,1084.6833,1
1867,6.0667,1
1880,94.9833,1
1881,130.05,1
1896,1058.6333,1
1897,189.5667,1
1898,308.8667,1
1900,59.2,1
1902,133.8333,1
1908,47.4167,1
1909,6.3833,1
1911,109.7333,1
1914,305.9,1
1917,30.4667,1
1918,395.6667,1
1932,51.7667,1
1935,3.5,1
1938,326.1167,1
1945,23.15,1
1947,185.1667,1
1950,214.7667,1
1957,304.4,1
1959,259.4667,1
1960,276.3833,1
1977,994.55,1
1993,144.3833,1
1994,216.1833,1
2003,93.1167,1
2010,85.7833,1
2018,215.3,1
2019,39.8167,1
2022,21.3167,1
2026,65.1,1
2051,161.5667,1
2054,1562.0833,1
2055,53.4667,1
2056,55.85,1
2058,0.4167,1
2064,232.0167,1
2066,1085.9833,1
2078,10.1333,1
2081,706.7667,1
2084,0.4,1
2091,2258.5833,1
2092,848.05,1
2093,496.1167,1
2099,250.5667,1
2104,44.1167,1
2106,1.9833,1
2108,304.3,1
2112,2237.6833,1
2113,43.5167,1
2114,696.3333,1
2118,554.6167,1
2120,581.6667,1
2130,92.05,1
2135,16.8333,1
2136,1209.8667,1
2149,604.1833,1
2154,223.7167,1
2157,4.4667,1
2160,51.1167,1
2162,114.65,1
2167,709.6833,1
2170,3.3,1
2185,965.85,1
2187,643.3833,1
2188,856.5333,1
2190,419.65,1
2195,403.4833,1
2207,332.4,1
2213,38.2833,1
2217,64.05,1
2218,1005.1667,1
2222,10.15,1
2229,574.5667,1
2231,131.4167,1
2233,330.6333,1
2236,18.3667,1
2248,1398.2333,1
2255,17.9167,1
2256,41.9667,1
2258,1077.9667,1
2265,90.55,1
2266,81.1167,1
2267,92.4,1
2274,368.7833,1
2275,0.25,1
2278,0.6667,1
2284,135.9333,1
2290,220.4667,1
2292,8.5,1
2295,12.0833,1
2303,19.0833,1
2304,195.35,1
2306,20.45,1
2308,1.7,1
2312,51.25,1
2318,3.5833,1
2324,2069.8333,1
2332,34.1333,1
2335,36.3833,1
2338,42.35,1
2339,182.2667,1
2340,150.0,1
2351,18.75,1
2354,1848.6667,1
2359,26.0833,1
2362,125.0833,1
2364,397.4333,1
2375,59.8,1
2377,61.9167,1
2385,367.6167,1
2397,712.6333,1
2398,0.4167,1
2403,2.3667,1
2406,36.0,1
2409,1648.95,1
2410,462.6833,1
2414,219.8167,1
2417,47.2333,1
2429,16.1167,1
2431,12.5833,1
2437,72.2167,1
2441,188.0,1
2447,574.2833,1
2463,6.9833,1
2495,0.1833,1
2501,145.05,1
2506,11.5,1
2516,72.4,1
2529,84.6667,1
2536,905.3833,1
2544,31.4,1
2546,95.8667,1
2550,9.6167,1
2555,105.8,1
2575,77.85,1
2577,3.45,1
2582,1577.5167,1
2591,1674.2667,1
2620,73.5333,1
2621,221.1167,1
2622,15.8667,1
2629,216.0667,1
2630,90.05,1
2636,1487.5667,1
2641,4.6,1
2642,148.7167,1
2644,157.1667,1
2651,57.9167,1
2653,669.4,1
2655,162.0,1
2657,28.1667,1
2661,5.1833,1
2663,101.9167,1
2671,10.3833,1
2685,8.1167,1
2688,413.1667,1
2692,94.75,1
2698,42.1667,1
2708,0.1667,1
2710,17.15,1
2719,49.2,1
2723,114.7833,1
2725,26.9,1
2726,6.5833,1
2731,39.8333,1
2738,0.2833,1
2741,2.25,1
2743,11.2333,1
2750,14.9833,1
2754,901.2833,1
2761,0.3,1
2764,36.55,1
2772,1272.7833,1
2774,557.95,1
2793,79.2833,1
2797,39.5833,1
2803,182.3833,1
2805,248.6167,1
2813,17.35,1
2815,310.5667,1
2819,27.05,1
2820,0.3167,1
2821,351.25,1
2824,21.9667,1
2825,1.1667,1
2826,12.2167,1
2827,1653.5667,1
2830,1254.1,1
2831,40.1833,1
2833,2.6333,1
2840,1.1167,1
2843,19.6333,1
2851,502.0833,1
2859,798.5,1
2866,1630.5833,1
2877,518.5167,1
2887,566.5,1
2894,0.75,1
2899,2030.1,1
2911,4.05,1
2917,1045.4,1
2918,601.2167,1
2920,11.4,1
2922,433.3167,1
2928,2.0333,1
2929,639.0333,1
2930,265.8,1
2933,45.95,1
2938,1331.2,1
2943,285.5167,1
2950,0.1333,1
2954,316.0,1
2973,68.6833,1
2978,35.2333,1
2984,648.25,1
3002,1377.8833,1
3011,586.3833,1
3016,24.1667,1
3017,166.6167,1
3022,507.85,1
3030,50.2,1
3031,136.7833,1
3034,2.1833,1
3048,20.7833,1
3050,27.8833,1
3062,37.85,1
3070,863.6333,1
3074,25.3,1
3075,116.9667,1
3080,171.5,1
3082,26.25,1
3090,41.8,1
3092,609.1,1
3099,83.8833,1
3107,27.4333,1
3112,22.4167,1
3115,51.7167,1
3130,0.2333,1
3138,26.5833,1
3146,0.1833,1
3147,23.5833,1
3148,21.2667,1
3161,114.7833,1
3162,403.9667,1
3182,0.1333,1
3187,76.8667,1
3188,609.05,1
3199,15.8833,1
3213,525.1167,1
3215,177.3167,1
3219,150.4,1
3221,93.6333,1
3239,378.4,1
3248,34.2333,1
3266,5.95,1
3286,3.9833,1
3288,186.9833,1
3291,1379.4667,1
3297,64.6,1
3303,443.2167,1
3305,308.4,1
3316,0.1,1
3338,795.3333,1
3367,101.9333,1
3379,0.35,1
3381,54.95,1
3393,10.1667,1
3402,13.2333,1
3414,0.2333,1
3419,1.2667,1
3420,469.5667,1
3423,454.35,1
3426,17.5,1
3430,1346.0,1
3441,45.7,1
3447,10.1,1
3453,295.8167,1
3466,251.7,1
3467,17.2333,1
3468,672.3,1
3470,20.2333,1
3471,234.4,1
3473,35.8,1
3478,824.1667,1
3481,2.9667,1
3494,272.0667,1
3495,0.0833,1
3498,1724.8333,1
3512,383.1167,1
3513,238.7833,1
3524,174.6333,1
3538,1083.85,1
3550,167.3167,1
3558,155.6833,1
3575,253.7833,1
3589,0.2833,1
3598,33.5167,1
3611,67.85,1
3613,1191.2167,1
3626,824.05,1
3641,192.55,1
3647,603.6833,1
3659,5.3667,1
3661,31.2667,1
3663,903.4333,1
3675,3.8833,1
3679,19.55,1
3681,136.9,1
3685,4.75,1
3687,779.3833,1
3688,170.4,1
3691,86.6833,1
3698,1650.9333,1
3700,131.0333,1
3702,73.3833,1
3704,21.8333,1
3707,662.2667,1
